,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,1,1,6,2,0.857142857,0.666666667,0.333333333,0.142857143,0.857142857,0.7,0.8,0.675,0.625,0.7,0.595238095,0.595238095
1,k_2,0,2,5,3,0.714285714,1,0,0.285714286,0.714285714,0.5,0.666666667,0.4375,0.3125,0.5,0.357142857,0.357142857
2,k_3,1,5,2,2,0.285714286,0.666666667,0.333333333,0.714285714,0.285714286,0.3,0.363636364,0.4,0.333333333,0.3,0.30952381,0.30952381
3,k_4,1,1,5,3,0.833333333,0.75,0.25,0.166666667,0.833333333,0.6,0.714285714,0.575,0.5625,0.6,0.541666667,0.541666667
4,k_5,0,0,6,4,1,1,0,0,1,0.6,0.75,0.36,0.3,0.6,0.5,0.5
5,k_6,0,0,6,4,1,1,0,0,1,0.6,0.75,0.36,0.3,0.6,0.5,0.5
6,k_7,2,3,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0.545454545,0.52,0.5,0.5,0.5,0.5
7,k_8,0,3,3,4,0.5,1,0,0.5,0.5,0.3,0.461538462,0.257142857,0.214285714,0.3,0.25,0.25
8,k_9,1,0,6,3,1,0.75,0.25,0,1,0.7,0.8,0.8,0.833333333,0.7,0.625,0.625
9,k_10,2,3,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0.545454545,0.52,0.5,0.5,0.5,0.5
,,,,,,,,,,0.857142857,,,,,,,
,,,,,,,,,,0.719047619,0.53,0.63970363,0.490464286,0.448095238,0.53,0.467857143,0.467857143
