Classifier,,Accuracy,,,,Precision,,,,Recall,,,,F1 score,,,,,,AUROC,
,,Accuracy,,Mean,,Precision,,Mean,,Recall,,Mean,,F1 score,,Mean,,AUROC,,Mean,
RF(12),&,0.8859,&,0.8466,&,0.7695,&,0.6554,&,0.9709,&,0.7773,&,0.8299,&,0.6879,&,0.8979,&,0.7779,\\
RF(20),&,0.8841,&,0.8442,&,0.7667,&,0.6545,&,0.9726,&,0.7625,&,0.8235,&,0.6764,&,0.8981,&,0.777,\\
DT,&,0.8802,&,0.8397,&,0.7494,&,0.6407,&,0.9834,&,0.8032,&,0.8343,&,0.6945,&,0.8872,&,0.7635,\\
GNB,&,0.8533,&,0.814,&,0.7675,&,0.6575,&,0.8665,&,0.7391,&,0.7819,&,0.6695,&,0.8752,&,0.7559,\\
SVM,&,0.8491,&,0.8038,&,0.7667,&,0.6294,&,0.7505,&,0.6327,&,0.7209,&,0.6012,&,0.8739,&,0.7493,\\
LG,&,0.8338,&,0.8131,&,0.7684,&,0.651,&,0.8063,&,0.6858,&,0.7622,&,0.6454,&,0.8497,&,0.7424,\\
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Classifier,&,Accuracy,&,Precision,&,Recall,&,F1 score,&,AUROC,\\,,,,,,,,,,
RF(12),&,0.8859,&,0.7695,&,0.9709,&,0.8299,&,0.8979,\\,,,,,,,,,,
RF(20),&,0.8841,&,0.7667,&,0.9726,&,0.8235,&,0.8981,\\,,,,,,,,,,
DT,&,0.8802,&,0.7494,&,0.9834,&,0.8343,&,0.8872,\\,,,,,,,,,,
GNB,&,0.8533,&,0.7675,&,0.8665,&,0.7819,&,0.8752,\\,,,,,,,,,,
SVM,&,0.8491,&,0.7667,&,0.7505,&,0.7209,&,0.8739,\\,,,,,,,,,,
LG,&,0.8338,&,0.7684,&,0.8063,&,0.7622,&,0.8497,\\,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Classifier,&,,,,,,,,,,,,,,,,,,,,
RF(12),&,0.8466,&,0.6554,&,0.7773,&,0.6879,&,0.7779,\\,,,,,,,,,,
RF(20),&,0.8442,&,0.6545,&,0.7625,&,0.6764,&,0.777,\\,,,,,,,,,,
DT,&,0.8397,&,0.6407,&,0.8032,&,0.6945,&,0.7635,\\,,,,,,,,,,
GNB,&,0.814,&,0.6575,&,0.7391,&,0.6695,&,0.7559,\\,,,,,,,,,,
SVM,&,0.8038,&,0.6294,&,0.6327,&,0.6012,&,0.7493,\\,,,,,,,,,,
LG,&,0.8131,&,0.651,&,0.6858,&,0.6454,&,0.7424,\\,,,,,,,,,,
