,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,4,3,1,2,0.25,0.333333333,0.666666667,0.75,0.25,0.5,0.285714286,0.476190476,0.452380952,0.5,0.458333333,0.458333333
1,k_2,5,0,4,1,1,0.166666667,0.833333333,0,1,0.9,0.888888889,0.92,0.9,0.9,0.916666667,0.916666667
2,k_3,3,0,4,3,1,0.5,0.5,0,1,0.7,0.727272727,0.828571429,0.785714286,0.7,0.75,0.75
3,k_4,6,4,0,0,0,0,1,1,0,0.6,0,0.36,0.3,0.6,0.5,0.5
4,k_5,7,2,1,0,0.333333333,0,1,0.666666667,0.333333333,0.8,0.5,0.844444444,0.888888889,0.8,0.666666667,0.666666667
5,k_6,3,3,0,4,0,0.571428571,0.428571429,1,0,0.3,0,0.35,0.25,0.3,0.214285714,0.214285714
6,k_7,5,1,2,2,0.666666667,0.285714286,0.714285714,0.333333333,0.666666667,0.7,0.571428571,0.733333333,0.666666667,0.7,0.69047619,0.69047619
7,k_8,6,2,1,1,0.333333333,0.142857143,0.857142857,0.666666667,0.333333333,0.7,0.4,0.675,0.625,0.7,0.595238095,0.595238095
8,k_9,4,1,2,3,0.666666667,0.428571429,0.571428571,0.333333333,0.666666667,0.6,0.5,0.68,0.6,0.6,0.619047619,0.619047619
9,k_10,5,3,0,2,0,0.285714286,0.714285714,1,0,0.5,0,0.4375,0.3125,0.5,0.357142857,0.357142857
,,,,,,1,0.571428571,1,1,1,0.9,0.888888889,0.92,0.9,0.9,0.916666667,0.916666667
,,,,,,0.425,0.271428571,0.728571429,0.575,0.425,0.63,0.387330447,0.630503968,0.578115079,0.63,0.576785714,0.576785714
