,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,6,0,4,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,k_2,5,0,4,1,1.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.9,0.888888888888889,0.9199999999999999,0.9,0.9,0.9166666666666667,0.9166666666666667
2,k_3,6,0,4,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,k_4,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,k_5,7,0,3,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,k_6,6,1,2,1,0.6666666666666666,0.14285714285714285,0.8571428571428572,0.3333333333333333,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619
6,k_7,6,2,1,1,0.3333333333333333,0.14285714285714285,0.8571428571428572,0.6666666666666666,0.3333333333333333,0.7,0.4,0.675,0.625,0.7,0.5952380952380952,0.5952380952380952
7,k_8,7,1,2,0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.9,0.8,0.9125,0.9375,0.9,0.8333333333333333,0.8333333333333333
8,k_9,5,0,3,2,1.0,0.2857142857142857,0.7142857142857143,0.0,1.0,0.8,0.7499999999999999,0.8800000000000001,0.8,0.8,0.8571428571428572,0.8571428571428572
9,k_10,7,1,2,0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.9,0.8,0.9125,0.9375,0.9,0.8333333333333333,0.8333333333333333
