,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,1,1,5,3,0.8333333333333334,0.75,0.25,0.16666666666666666,0.8333333333333334,0.6,0.7142857142857143,0.575,0.5625,0.6,0.5416666666666667,0.5416666666666667
1,k_2,2,1,5,2,0.8333333333333334,0.5,0.5,0.16666666666666666,0.8333333333333334,0.7,0.7692307692307692,0.6952380952380952,0.6904761904761905,0.7,0.6666666666666667,0.6666666666666667
2,k_3,1,1,5,3,0.8333333333333334,0.75,0.25,0.16666666666666666,0.8333333333333334,0.6,0.7142857142857143,0.575,0.5625,0.6,0.5416666666666667,0.5416666666666667
3,k_4,3,5,1,1,0.16666666666666666,0.25,0.75,0.8333333333333334,0.16666666666666666,0.4,0.25,0.45,0.4375,0.4,0.4583333333333333,0.4583333333333333
4,k_5,0,0,6,4,1.0,1.0,0.0,0.0,1.0,0.6,0.7499999999999999,0.36,0.3,0.6,0.5,0.5
5,k_6,3,0,6,1,1.0,0.25,0.75,0.0,1.0,0.9,0.923076923076923,0.9142857142857143,0.9285714285714286,0.9,0.875,0.875
6,k_7,1,2,3,4,0.6,0.8,0.19999999999999996,0.4,0.6,0.4,0.5,0.38095238095238093,0.38095238095238093,0.4,0.4,0.39999999999999997
7,k_8,0,0,5,5,1.0,1.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.25,0.25,0.5,0.5,0.5
8,k_9,0,1,4,5,0.8,1.0,0.0,0.2,0.8,0.4,0.5714285714285714,0.22222222222222224,0.2222222222222222,0.4,0.4,0.4
9,k_10,4,4,1,1,0.2,0.2,0.8,0.8,0.2,0.5,0.28571428571428575,0.5,0.5,0.5,0.5,0.5
