,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,3,2,2,3,0.5,0.5,0.5,0.5,0.5,0.5,0.444444444,0.52,0.5,0.5,0.5,0.5
1,k_2,5,2,2,1,0.5,0.166666667,0.833333333,0.5,0.5,0.7,0.571428571,0.695238095,0.69047619,0.7,0.666666667,0.666666667
2,k_3,5,2,1,2,0.333333333,0.285714286,0.714285714,0.666666667,0.333333333,0.6,0.333333333,0.6,0.523809524,0.6,0.523809524,0.523809524
3,k_4,7,3,0,0,0,0,1,1,0,0.7,0,0.49,0.35,0.7,0.5,0.5
4,k_5,7,3,0,0,0,0,1,1,0,0.7,0,0.49,0.35,0.7,0.5,0.5
5,k_6,4,2,1,3,0.333333333,0.428571429,0.571428571,0.666666667,0.333333333,0.5,0.285714286,0.541666667,0.458333333,0.5,0.452380952,0.452380952
6,k_7,4,1,2,3,0.666666667,0.428571429,0.571428571,0.333333333,0.666666667,0.6,0.5,0.68,0.6,0.6,0.619047619,0.619047619
7,k_8,6,3,0,1,0,0.142857143,0.857142857,1,0,0.6,0,0.466666667,0.333333333,0.6,0.428571429,0.428571429
8,k_9,7,2,1,0,0.333333333,0,1,0.666666667,0.333333333,0.8,0.5,0.844444444,0.888888889,0.8,0.666666667,0.666666667
9,k_10,7,3,0,0,0,0,1,1,0,0.7,0,0.49,0.35,0.7,0.5,0.5
,,,,,,,,,,0.266666667,0.64,0.263492063,0.581801587,0.504484127,0.64,0.535714286,0.535714286
