,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,3,3,1,3,0.25,0.5,0.5,0.75,0.25,0.4,0.25,0.4,0.375,0.4,0.375,0.375
1,k_2,4,2,2,2,0.5,0.333333333,0.666666667,0.5,0.5,0.6,0.5,0.6,0.583333333,0.6,0.583333333,0.583333333
2,k_3,4,3,1,2,0.25,0.333333333,0.666666667,0.75,0.25,0.5,0.285714286,0.476190476,0.452380952,0.5,0.458333333,0.458333333
3,k_4,6,4,0,0,0,0,1,1,0,0.6,0,0.36,0.3,0.6,0.5,0.5
4,k_5,5,2,1,2,0.333333333,0.285714286,0.714285714,0.666666667,0.333333333,0.6,0.333333333,0.6,0.523809524,0.6,0.523809524,0.523809524
5,k_6,6,3,0,1,0,0.142857143,0.857142857,1,0,0.6,0,0.466666667,0.333333333,0.6,0.428571429,0.428571429
6,k_7,6,2,1,1,0.333333333,0.142857143,0.857142857,0.666666667,0.333333333,0.7,0.4,0.675,0.625,0.7,0.595238095,0.595238095
7,k_8,4,2,1,3,0.333333333,0.428571429,0.571428571,0.666666667,0.333333333,0.5,0.285714286,0.541666667,0.458333333,0.5,0.452380952,0.452380952
8,k_9,5,2,1,2,0.333333333,0.285714286,0.714285714,0.666666667,0.333333333,0.6,0.333333333,0.6,0.523809524,0.6,0.523809524,0.523809524
9,k_10,5,3,0,2,0,0.285714286,0.714285714,1,0,0.5,0,0.4375,0.3125,0.5,0.357142857,0.357142857
,,,,,,,,,,0.233333333,0.56,0.238809524,0.515702381,0.44875,0.56,0.479761905,0.479761905
