,cyclomatic_complexity,tloc,sloc_whbl,sloc_statements_wc,nloc_whbl,nloc,token_count,start_line,end_line,numArg,numLoops,numVariablesDeclared,numAritOper,numExternalMethods,return,Total_return,TotalVariablesReturned,argDT_byte,argDT_short,argDT_int,argDT_long,argDT_double,argDT_char,argDT_boolean,argDT_Integer,argDT_float,argDT_Byte,argDT_Short,argDT_Long,argDT_Double,argDT_Char,argDT_BooleanargDT_array_byte,argDT_array_short,argDT_array_int,argDT_array_long,argDT_array_double,argDT_array_char,argDT_array_boolean,argDT_array_Integer,argDT_array_float,argDT_array_Byte,argDT_array_Short,argDT_array_Long,argDT_array_Double,argDT_array_Char,argDT_array_Boolean,argDT_none,returnDT_byte,returnDT_short,returnDT_int,returnDT_long,returnDT_double,returnDT_char,returnDT_boolean,returnDT_Integer,returnDT_float,returnDT_Byte,returnDT_Short,returnDT_Long,returnDT_Double,returnDT_Char,returnDT_BooleanreturnDT_array_byte,returnDT_array_short,returnDT_array_int,returnDT_array_long,returnDT_array_double,returnDT_array_char,returnDT_array_boolean,returnDT_array_Integer,returnDT_array_float,returnDT_array_Byte,returnDT_array_Short,returnDT_array_Long,returnDT_array_Double,returnDT_array_Char,returnDT_array_Boolean,returnDT_none
0,0.144618597,0.105143801,0.057354652,0.056112608,0.04428588,0.043863246,0.042939418,0.041938023,0.041571126,0.040913327,0.040218256,0.038808853,0.035989331,0.034292498,0.033493166,0.033370012,0.030433683,0.021818418,0.017785379,0.016378056,0.013127423,0.012771139,0.010759327,0.010121956,0.009985521,0.008447725,0.006615676,0.002163018,0.001927801,0.001380888,0.001371197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.147648658,0.100211492,0.056701167,0.053386714,0.048017053,0.044177923,0.042994206,0.042081527,0.041513525,0.040223095,0.039582305,0.039442318,0.038785859,0.036218843,0.032088651,0.031902944,0.029066787,0.022095744,0.016831785,0.015958738,0.015316313,0.014779289,0.010227523,0.010021969,0.009923547,0.00785126,0.00647262,0.002014259,0.001870952,0.00139006,0.001202875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.148543067,0.097911758,0.059529196,0.058389226,0.043910968,0.043416433,0.043190226,0.042494944,0.042344817,0.041429832,0.041317991,0.040160217,0.036907524,0.033199922,0.031978737,0.031591136,0.029529151,0.022518961,0.018416447,0.016380363,0.015414403,0.01443691,0.009709512,0.009600441,0.009268849,0.006205445,0.005881068,0.002159316,0.001511022,0.001452406,0.00119971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.138818509,0.106921231,0.057133443,0.056014619,0.045692904,0.043382978,0.041599294,0.041518537,0.040601222,0.040481356,0.040450031,0.038956288,0.038259715,0.036277727,0.033110184,0.031516859,0.031161581,0.026136013,0.01772378,0.015582948,0.015195941,0.015158815,0.010517298,0.009174127,0.008954955,0.007482054,0.005720151,0.001843574,0.001744264,0.001460804,0.001408799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.154837121,0.10337259,0.055881778,0.054232254,0.043954401,0.043811361,0.042331404,0.041821612,0.041717211,0.041573923,0.040236543,0.039105654,0.036971203,0.034729344,0.031212084,0.030570036,0.03034777,0.021676964,0.018602276,0.014945237,0.014837257,0.013862558,0.011108991,0.010351091,0.008085541,0.007174607,0.005936814,0.002191374,0.001581381,0.001479708,0.001459911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.149454814,0.097046873,0.059384194,0.056935117,0.044459333,0.043801009,0.043787913,0.042475343,0.041563761,0.041055375,0.040523062,0.039028579,0.035575956,0.034687114,0.034302008,0.030717733,0.03037438,0.021065776,0.01799921,0.017396531,0.014391044,0.014069744,0.00984894,0.009603943,0.009134253,0.008384568,0.006458721,0.002039709,0.001576477,0.001564688,0.001293831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.150450319,0.098842051,0.05790606,0.054456009,0.04274953,0.042654874,0.042638332,0.042616218,0.042212069,0.041371657,0.040295139,0.039966686,0.037670198,0.036325168,0.034075983,0.03275172,0.02962342,0.024628174,0.01831902,0.015240071,0.015142312,0.012929435,0.009852052,0.009177623,0.008929634,0.006579989,0.005725504,0.001982766,0.001852184,0.001781081,0.00125472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.139798693,0.108406696,0.058454324,0.057984668,0.044251662,0.043008304,0.042572655,0.041895306,0.041337256,0.040977251,0.040577029,0.040400394,0.038005239,0.033227794,0.033156923,0.032566719,0.02801478,0.025008927,0.017231628,0.015435322,0.015038751,0.014343668,0.01054465,0.008989888,0.008975088,0.007098416,0.006191071,0.001879323,0.001843931,0.001469465,0.001314179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.146944996,0.101963243,0.056052595,0.055544606,0.044615323,0.044133515,0.043222182,0.042596675,0.042551219,0.041908723,0.040723923,0.039126045,0.037331888,0.034312362,0.032574852,0.031942635,0.031657654,0.023968803,0.017104912,0.014643842,0.014341208,0.013491288,0.010328937,0.010165848,0.009473592,0.006889772,0.005924852,0.001899285,0.00177908,0.001592088,0.001194056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.146770549,0.104077248,0.055890833,0.054814006,0.044569653,0.043642904,0.043129608,0.041900229,0.041877881,0.041692892,0.040670306,0.040415884,0.036522618,0.036339032,0.032220215,0.030819984,0.030743638,0.023962244,0.017237899,0.016768811,0.014153604,0.013167998,0.010112408,0.009230601,0.009081872,0.006848761,0.006478625,0.001856214,0.001784797,0.001668062,0.001550623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
