,cyclomatic_complexity,tloc,sloc_whbl,sloc_statements_wc,nloc_whbl,nloc,token_count,start_line,end_line,numArg,numLoops,numVariablesDeclared,numAritOper,numExternalMethods,return,Total_return,TotalVariablesReturned,argDT_byte,argDT_short,argDT_int,argDT_long,argDT_double,argDT_char,argDT_boolean,argDT_Integer,argDT_float,argDT_Byte,argDT_Short,argDT_Long,argDT_Double,argDT_Char,argDT_BooleanargDT_array_byte,argDT_array_short,argDT_array_int,argDT_array_long,argDT_array_double,argDT_array_char,argDT_array_boolean,argDT_array_Integer,argDT_array_float,argDT_array_Byte,argDT_array_Short,argDT_array_Long,argDT_array_Double,argDT_array_Char,argDT_array_Boolean,argDT_none,returnDT_byte,returnDT_short,returnDT_int,returnDT_long,returnDT_double,returnDT_char,returnDT_boolean,returnDT_Integer,returnDT_float,returnDT_Byte,returnDT_Short,returnDT_Long,returnDT_Double,returnDT_Char,returnDT_BooleanreturnDT_array_byte,returnDT_array_short,returnDT_array_int,returnDT_array_long,returnDT_array_double,returnDT_array_char,returnDT_array_boolean,returnDT_array_Integer,returnDT_array_float,returnDT_array_Byte,returnDT_array_Short,returnDT_array_Long,returnDT_array_Double,returnDT_array_Char,returnDT_array_Boolean,returnDT_none
0,0.146744298,0.10309612,0.05888524,0.054802016,0.046965569,0.046847044,0.041635387,0.041004099,0.040858039,0.040725427,0.04037396,0.039098475,0.038212667,0.0360662,0.033295788,0.031247708,0.028596738,0.022032577,0.016500721,0.016404713,0.016246475,0.013578117,0.009962438,0.008475765,0.008088015,0.007313161,0.005871418,0.002233533,0.001667792,0.001643827,0.001526673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.138306458,0.102597275,0.060850152,0.054819638,0.044878384,0.044443863,0.043690451,0.042203385,0.042177656,0.042102112,0.041949622,0.038375313,0.038179826,0.033748261,0.032508221,0.031948258,0.030821394,0.024826175,0.017158258,0.016905783,0.015001458,0.01425226,0.010053035,0.009869714,0.008547605,0.006911443,0.005697328,0.002177216,0.001786783,0.001615891,0.001596778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.153109678,0.101456916,0.056752858,0.054019147,0.04461067,0.043463311,0.043028019,0.041733207,0.040935473,0.040340501,0.039779497,0.03968,0.038708622,0.034518853,0.033276153,0.031655444,0.031228006,0.021962671,0.017214732,0.01588264,0.014371674,0.01292594,0.010412159,0.009414703,0.008639275,0.007281628,0.006018371,0.002103401,0.001891665,0.001858496,0.001726289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.149143274,0.099397943,0.058758627,0.057332091,0.046007938,0.043377413,0.042251149,0.041680738,0.041110892,0.040940115,0.03935252,0.039235088,0.038906874,0.035440489,0.033321587,0.031470555,0.028280359,0.026410033,0.01580888,0.015739688,0.014681852,0.013326815,0.009755692,0.009272916,0.009263124,0.006861453,0.005526986,0.002006374,0.001810537,0.001807326,0.001720673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.146063112,0.103113643,0.057664955,0.05751111,0.044610883,0.043398542,0.042859134,0.042452026,0.041495196,0.040556231,0.040302456,0.039180352,0.036476199,0.034252028,0.033139705,0.032394192,0.030320309,0.023693915,0.017412374,0.01675778,0.015371143,0.015158495,0.009234268,0.009158092,0.00865197,0.006270493,0.006114481,0.002060501,0.001636405,0.001345481,0.001344531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.142785755,0.104914474,0.059421929,0.051944012,0.044054725,0.043744111,0.043350328,0.042546343,0.04221832,0.041793199,0.041345092,0.040776166,0.039342396,0.033998355,0.033900004,0.03349699,0.029520151,0.024528476,0.015857006,0.01566142,0.014635275,0.013784318,0.00906051,0.008820027,0.008124773,0.00736751,0.006652035,0.001758496,0.001720164,0.001607987,0.001269652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.144919505,0.10422051,0.056041396,0.055688807,0.045118528,0.04465753,0.043058104,0.042945011,0.042175212,0.041535247,0.040195556,0.039277555,0.03729343,0.035668388,0.031332259,0.030857271,0.030560875,0.023498492,0.015910171,0.015276683,0.015174371,0.014807517,0.011522408,0.009871057,0.008840506,0.006910895,0.00613324,0.001759357,0.001637899,0.001625286,0.001486934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.140146472,0.099424845,0.062314949,0.054402641,0.044175515,0.043727765,0.043241712,0.042768647,0.041769787,0.041341063,0.040924762,0.038706285,0.037521903,0.036602544,0.034262737,0.034164306,0.030220011,0.023524822,0.016339341,0.015747028,0.015365448,0.014843226,0.010365982,0.009812756,0.009756008,0.006445531,0.005559964,0.001943063,0.001599613,0.001573566,0.001407704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.148670926,0.104211598,0.055592496,0.052603237,0.04630199,0.043759908,0.043138149,0.042565995,0.042189529,0.041187285,0.041099007,0.039374952,0.038903499,0.03630707,0.03101944,0.029758416,0.029416454,0.024636076,0.016806234,0.016466343,0.014131928,0.013108,0.010358932,0.009886911,0.009040889,0.006538259,0.006194619,0.001962003,0.001876796,0.001514017,0.001379042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.144356151,0.105491729,0.059320778,0.056764098,0.044390933,0.043371471,0.04254399,0.042049002,0.041941522,0.041521556,0.041377484,0.03918669,0.036079606,0.035625951,0.034045024,0.033129706,0.032345574,0.021561223,0.017974657,0.015603525,0.014091335,0.012427591,0.009512334,0.008817412,0.008382073,0.006367756,0.006127772,0.001589256,0.001429504,0.00139374,0.001180556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
